,annotation.creatingUser,annotation.creationDateTime,annotation.guid,annotation.isCode,annotation.isNote,annotation.CodeRef.targetGUID,annotation.NoteRef.targetGUID,annotation.quoteGUID,quote.startPosition,quote.modifyingUser,quote.modifiedDateTime,quote.creatingUser,quote.creationDateTime,quote.endPosition,quote.guid,quote.name,quote.documentGUID,document.plainTextPath,document.modifyingUser,document.modifiedDateTime,document.creatingUser,document.creationDateTime,document.richTextPath,document.guid,document.name,document.Description
0,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,5CBD26CB-6D8C-462E-A3A9-3F654D786397,True,False,47A85B93-33D7-403D-A0AD-E2396DDC0474,,1A860E2F-5C33-4A54-93A9-72A5BF3093AD,2566,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,2856,1A860E2F-5C33-4A54-93A9-72A5BF3093AD,"PERSON 1 : ok imagine we have 5 different functions PERSON 1 : one return 1, one return 2 etc PERSON…",E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
1,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:33Z,01AE7F44-7F7C-4B18-BFC3-367456D821B9,True,False,E35A8596-D7AB-4540-918D-BF869846C5CB,,1A860E2F-5C33-4A54-93A9-72A5BF3093AD,2566,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,2856,1A860E2F-5C33-4A54-93A9-72A5BF3093AD,"PERSON 1 : ok imagine we have 5 different functions PERSON 1 : one return 1, one return 2 etc PERSON…",E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
2,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:22:59Z,6FD1E7DA-09C3-4A45-B767-CB2D83598B70,True,False,FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB,,1A860E2F-5C33-4A54-93A9-72A5BF3093AD,2566,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:09:31Z,2856,1A860E2F-5C33-4A54-93A9-72A5BF3093AD,"PERSON 1 : ok imagine we have 5 different functions PERSON 1 : one return 1, one return 2 etc PERSON…",E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
3,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,FDBF26C8-B69F-4C06-B2DA-31AE9F8AC6B9,True,False,07E06FC1-375D-4486-987E-3822A943D48F,,2C15EEF7-813D-4D98-94C6-7D1662FFC108,2982,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,3301,2C15EEF7-813D-4D98-94C6-7D1662FFC108,PERSON 1 : and by the way this limits us in some way PERSON 1 : we need to keep everyframe in memory…,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
4,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:16Z,72893A66-B238-4ABA-9D8B-32E9648B35C6,True,False,E35A8596-D7AB-4540-918D-BF869846C5CB,,2C15EEF7-813D-4D98-94C6-7D1662FFC108,2982,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,3301,2C15EEF7-813D-4D98-94C6-7D1662FFC108,PERSON 1 : and by the way this limits us in some way PERSON 1 : we need to keep everyframe in memory…,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
5,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:03:20Z,71656ED4-4615-4846-98AC-A6ABAB825D0B,True,False,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,,2C15EEF7-813D-4D98-94C6-7D1662FFC108,2982,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:59:13Z,3301,2C15EEF7-813D-4D98-94C6-7D1662FFC108,PERSON 1 : and by the way this limits us in some way PERSON 1 : we need to keep everyframe in memory…,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
6,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-08-25T16:14:14Z,3855A4E6-C248-460D-B487-2DD4F54E9655,True,False,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,,FCBCDAE0-F434-4BE9-BA97-B1541C412BA8,993,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:34:08Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:34:08Z,1018,FCBCDAE0-F434-4BE9-BA97-B1541C412BA8,ahh yeah I think I get it,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
7,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-08-25T16:14:14Z,9126EF4D-08BA-471A-B0DA-2DFFE7A3EA47,True,False,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,,9BFF9F81-E00E-435D-BB09-1F62FCF69E7C,2150,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:35:07Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:35:07Z,2175,9BFF9F81-E00E-435D-BB09-1F62FCF69E7C,ahh okay that makes sense,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
8,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:08:29Z,04C7EFBA-217C-4BBC-B83D-DFDE760A2E55,True,False,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,,B0054253-AEC4-4C78-92F0-CD66F8789A05,2233,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:27Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:27Z,2287,B0054253-AEC4-4C78-92F0-CD66F8789A05,"PERSON 0 : couldn't you just put PERSON 0 : ""return N""",E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
9,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:29Z,6C2BE5B1-82CB-4958-A09B-70AFAE0FF155,True,False,6C367D66-7EBE-4C5C-BD16-7D332FA53A55,,B0054253-AEC4-4C78-92F0-CD66F8789A05,2233,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:27Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:27Z,2287,B0054253-AEC4-4C78-92F0-CD66F8789A05,"PERSON 0 : couldn't you just put PERSON 0 : ""return N""",E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://A5E2327B-FE8F-4F92-AEAA-A21D4A5A1A9D.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://01025244-4EDE-4A8A-8124-7D72167A9E37.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT,
