code,outcome,count
"Attitude, tone, or mood > expressNegativity > beingLost",F,159
"Attitude, tone, or mood > expressNegativity > beingLost",S,91
"Attitude, tone, or mood > expressNegativity > frustration",F,125
"Attitude, tone, or mood > expressNegativity > frustration",S,39
"Attitude, tone, or mood > expressNegativity > selfTalk",F,31
"Attitude, tone, or mood > expressNegativity > selfTalk",S,38
"Attitude, tone, or mood > expressPositivity > apology",F,34
"Attitude, tone, or mood > expressPositivity > apology",S,49
"Attitude, tone, or mood > expressPositivity > beingWrong",F,14
"Attitude, tone, or mood > expressPositivity > beingWrong",S,45
"Attitude, tone, or mood > expressPositivity > expressSatisfactionOrGratitude",F,82
"Attitude, tone, or mood > expressPositivity > expressSatisfactionOrGratitude",S,307
"Attitude, tone, or mood > expressPositivity > expressSupportingWords",F,110
"Attitude, tone, or mood > expressPositivity > expressSupportingWords",S,257
"Attitude, tone, or mood > expressPositivity > greeting",F,399
"Attitude, tone, or mood > expressPositivity > greeting",S,378
"Attitude, tone, or mood > expressTeachingPhilosophy",F,19
"Attitude, tone, or mood > expressTeachingPhilosophy",S,20
Big picture of an interaction > request > bugFix,F,63
Big picture of an interaction > request > bugFix,S,88
Big picture of an interaction > request > codeComprehension,F,13
Big picture of an interaction > request > codeComprehension,S,31
Big picture of an interaction > request > codeImprove,F,8
Big picture of an interaction > request > codeImprove,S,9
Big picture of an interaction > request > codeWrite,F,64
Big picture of an interaction > request > codeWrite,S,88
Big picture of an interaction > resolveRequest,F,147
Big picture of an interaction > resolveRequest,S,214
Big picture of an interaction > resolveRequest > failure,F,0
Big picture of an interaction > resolveRequest > failure,S,0
Big picture of an interaction > resolveRequest > success,F,0
Big picture of an interaction > resolveRequest > success,S,0
"Helping > (explain, bug)",F,90
"Helping > (explain, bug)",S,114
"Helping > (explain, codeOpinion)",F,0
"Helping > (explain, codeOpinion)",S,11
"Helping > (explain, codeSpecifications)",F,58
"Helping > (explain, codeSpecifications)",S,94
"Helping > (explain, codingConcept)",F,35
"Helping > (explain, codingConcept)",S,116
"Helping > (explain, codingExperience)",F,5
"Helping > (explain, codingExperience)",S,1
"Helping > (explain, developmentStrategy)",F,9
"Helping > (explain, developmentStrategy)",S,8
"Helping > (explain, errorLocation)",F,0
"Helping > (explain, errorLocation)",S,2
"Helping > (explain, errorMsg)",F,0
"Helping > (explain, errorMsg)",S,5
"Helping > (explain, learningResources)",F,3
"Helping > (explain, learningResources)",S,2
"Helping > (explain, originalCode)",F,50
"Helping > (explain, originalCode)",S,64
"Helping > (explain, personalInfo)",F,3
"Helping > (explain, personalInfo)",S,0
"Helping > (explain, platformRelated)",F,8
"Helping > (explain, platformRelated)",S,13
"Helping > (explain, proposedNewCode)",F,117
"Helping > (explain, proposedNewCode)",S,227
"Helping > (explain, testCases)",F,11
"Helping > (explain, testCases)",S,18
"Helping > (guideInteractively, bug)",F,6
"Helping > (guideInteractively, bug)",S,7
"Helping > (guideInteractively, codeOpinion)",F,0
"Helping > (guideInteractively, codeOpinion)",S,0
"Helping > (guideInteractively, codeSpecifications)",F,3
"Helping > (guideInteractively, codeSpecifications)",S,5
"Helping > (guideInteractively, codingConcept)",F,3
"Helping > (guideInteractively, codingConcept)",S,5
"Helping > (guideInteractively, codingExperience)",F,0
"Helping > (guideInteractively, codingExperience)",S,0
"Helping > (guideInteractively, developmentStrategy)",F,11
"Helping > (guideInteractively, developmentStrategy)",S,10
"Helping > (guideInteractively, errorLocation)",F,4
"Helping > (guideInteractively, errorLocation)",S,1
"Helping > (guideInteractively, errorMsg)",F,1
"Helping > (guideInteractively, errorMsg)",S,2
"Helping > (guideInteractively, learningResources)",F,0
"Helping > (guideInteractively, learningResources)",S,0
"Helping > (guideInteractively, originalCode)",F,2
"Helping > (guideInteractively, originalCode)",S,5
"Helping > (guideInteractively, personalInfo)",F,0
"Helping > (guideInteractively, personalInfo)",S,1
"Helping > (guideInteractively, platformRelated)",F,1
"Helping > (guideInteractively, platformRelated)",S,3
"Helping > (guideInteractively, proposedNewCode)",F,92
"Helping > (guideInteractively, proposedNewCode)",S,157
"Helping > (guideInteractively, testCases)",F,3
"Helping > (guideInteractively, testCases)",S,7
"Helping > (implement, bug)",F,1
"Helping > (implement, bug)",S,1
"Helping > (implement, codeOpinion)",F,0
"Helping > (implement, codeOpinion)",S,0
"Helping > (implement, codeSpecifications)",F,0
"Helping > (implement, codeSpecifications)",S,2
"Helping > (implement, codingConcept)",F,1
"Helping > (implement, codingConcept)",S,0
"Helping > (implement, codingExperience)",F,0
"Helping > (implement, codingExperience)",S,0
"Helping > (implement, developmentStrategy)",F,6
"Helping > (implement, developmentStrategy)",S,4
"Helping > (implement, errorLocation)",F,1
