0
"Helping > (explain, bug)"
"Helping > (explain, codeOpinion)"
"Helping > (explain, codeSpecifications)"
"Helping > (explain, codingConcept)"
"Helping > (explain, codingExperience)"
"Helping > (explain, developmentStrategy)"
"Helping > (explain, errorLocation)"
"Helping > (explain, errorMsg)"
"Helping > (explain, learningResources)"
"Helping > (explain, originalCode)"
"Helping > (explain, personalInfo)"
"Helping > (explain, platformRelated)"
"Helping > (explain, proposedNewCode)"
"Helping > (explain, testCases)"
"Helping > (guideInteractively, bug)"
"Helping > (guideInteractively, codeOpinion)"
"Helping > (guideInteractively, codeSpecifications)"
"Helping > (guideInteractively, codingConcept)"
"Helping > (guideInteractively, codingExperience)"
"Helping > (guideInteractively, developmentStrategy)"
"Helping > (guideInteractively, errorLocation)"
"Helping > (guideInteractively, errorMsg)"
"Helping > (guideInteractively, learningResources)"
"Helping > (guideInteractively, originalCode)"
"Helping > (guideInteractively, personalInfo)"
"Helping > (guideInteractively, platformRelated)"
"Helping > (guideInteractively, proposedNewCode)"
"Helping > (guideInteractively, testCases)"
"Helping > (implement, bug)"
"Helping > (implement, codeOpinion)"
"Helping > (implement, codeSpecifications)"
"Helping > (implement, codingConcept)"
"Helping > (implement, codingExperience)"
"Helping > (implement, developmentStrategy)"
"Helping > (implement, errorLocation)"
"Helping > (implement, errorMsg)"
"Helping > (implement, learningResources)"
"Helping > (implement, originalCode)"
"Helping > (implement, personalInfo)"
"Helping > (implement, platformRelated)"
"Helping > (implement, proposedNewCode)"
"Helping > (implement, testCases)"
"Helping > (negativeConfirmation, bug)"
"Helping > (negativeConfirmation, codeOpinion)"
"Helping > (negativeConfirmation, codeSpecifications)"
"Helping > (negativeConfirmation, codingConcept)"
"Helping > (negativeConfirmation, codingExperience)"
"Helping > (negativeConfirmation, developmentStrategy)"
"Helping > (negativeConfirmation, errorLocation)"
"Helping > (negativeConfirmation, errorMsg)"
"Helping > (negativeConfirmation, learningResources)"
"Helping > (negativeConfirmation, originalCode)"
"Helping > (negativeConfirmation, personalInfo)"
"Helping > (negativeConfirmation, platformRelated)"
"Helping > (negativeConfirmation, proposedNewCode)"
"Helping > (negativeConfirmation, testCases)"
"Helping > (positiveConfirmation, bug)"
"Helping > (positiveConfirmation, codeOpinion)"
"Helping > (positiveConfirmation, codeSpecifications)"
"Helping > (positiveConfirmation, codingConcept)"
"Helping > (positiveConfirmation, codingExperience)"
"Helping > (positiveConfirmation, developmentStrategy)"
"Helping > (positiveConfirmation, errorLocation)"
"Helping > (positiveConfirmation, errorMsg)"
"Helping > (positiveConfirmation, learningResources)"
"Helping > (positiveConfirmation, originalCode)"
"Helping > (positiveConfirmation, personalInfo)"
"Helping > (positiveConfirmation, platformRelated)"
"Helping > (positiveConfirmation, proposedNewCode)"
"Helping > (positiveConfirmation, testCases)"
"Helping > (state, bug)"
"Helping > (state, codeOpinion)"
"Helping > (state, codeSpecifications)"
"Helping > (state, codingConcept)"
"Helping > (state, codingExperience)"
"Helping > (state, developmentStrategy)"
"Helping > (state, errorLocation)"
"Helping > (state, errorMsg)"
"Helping > (state, learningResources)"
"Helping > (state, originalCode)"
"Helping > (state, personalInfo)"
"Helping > (state, platformRelated)"
"Helping > (state, proposedNewCode)"
"Helping > (state, testCases)"
"Helping > (suggest, bug)"
"Helping > (suggest, codeOpinion)"
"Helping > (suggest, codeSpecifications)"
"Helping > (suggest, codingConcept)"
"Helping > (suggest, codingExperience)"
"Helping > (suggest, developmentStrategy)"
"Helping > (suggest, errorLocation)"
"Helping > (suggest, errorMsg)"
"Helping > (suggest, learningResources)"
"Helping > (suggest, originalCode)"
"Helping > (suggest, personalInfo)"
"Helping > (suggest, platformRelated)"
"Helping > (suggest, proposedNewCode)"
"Helping > (suggest, testCases)"
"Helping > (teachWithExtensions, bug)"
"Helping > (teachWithExtensions, codeOpinion)"
"Helping > (teachWithExtensions, codeSpecifications)"
"Helping > (teachWithExtensions, codingConcept)"
"Helping > (teachWithExtensions, codingExperience)"
"Helping > (teachWithExtensions, developmentStrategy)"
"Helping > (teachWithExtensions, errorLocation)"
"Helping > (teachWithExtensions, errorMsg)"
"Helping > (teachWithExtensions, learningResources)"
"Helping > (teachWithExtensions, originalCode)"
"Helping > (teachWithExtensions, personalInfo)"
"Helping > (teachWithExtensions, platformRelated)"
"Helping > (teachWithExtensions, proposedNewCode)"
"Helping > (teachWithExtensions, testCases)"
"Questioning > (checkForFollowing, bug)"
"Questioning > (checkForFollowing, codeOpinion)"
"Questioning > (checkForFollowing, codeSpecifications)"
"Questioning > (checkForFollowing, codingConcept)"
"Questioning > (checkForFollowing, codingExperience)"
"Questioning > (checkForFollowing, developmentStrategy)"
"Questioning > (checkForFollowing, errorLocation)"
"Questioning > (checkForFollowing, errorMsg)"
"Questioning > (checkForFollowing, learningResources)"
"Questioning > (checkForFollowing, originalCode)"
"Questioning > (checkForFollowing, personalInfo)"
"Questioning > (checkForFollowing, platformRelated)"
"Questioning > (checkForFollowing, proposedNewCode)"
"Questioning > (checkForFollowing, testCases)"
"Questioning > (checkIfCorrect, bug)"
"Questioning > (checkIfCorrect, codeOpinion)"
"Questioning > (checkIfCorrect, codeSpecifications)"
"Questioning > (checkIfCorrect, codingConcept)"
"Questioning > (checkIfCorrect, codingExperience)"
"Questioning > (checkIfCorrect, developmentStrategy)"
"Questioning > (checkIfCorrect, errorLocation)"
"Questioning > (checkIfCorrect, errorMsg)"
"Questioning > (checkIfCorrect, learningResources)"
"Questioning > (checkIfCorrect, originalCode)"
"Questioning > (checkIfCorrect, personalInfo)"
"Questioning > (checkIfCorrect, platformRelated)"
"Questioning > (checkIfCorrect, proposedNewCode)"
"Questioning > (checkIfCorrect, testCases)"
"Questioning > (content, bug)"
"Questioning > (content, codeOpinion)"
"Questioning > (content, codeSpecifications)"
"Questioning > (content, codingConcept)"
"Questioning > (content, codingExperience)"
"Questioning > (content, developmentStrategy)"
"Questioning > (content, errorLocation)"
"Questioning > (content, errorMsg)"
"Questioning > (content, learningResources)"
"Questioning > (content, originalCode)"
"Questioning > (content, personalInfo)"
"Questioning > (content, platformRelated)"
"Questioning > (content, proposedNewCode)"
"Questioning > (content, testCases)"
"Questioning > (guiding, bug)"
"Questioning > (guiding, codeOpinion)"
